Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,734372,-,-,-,29.77,-95.38,0,20,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Cloud Type,DNI,Dew Point,Solar Zenith Angle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2022,1,1,0,0,22.4,0,0,21.7,96.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,0,30,22.3,0,0,21.7,102.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,1,0,22.2,0,0,21.8,108.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,1,30,22.1,0,0,21.8,114.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,2,0,22.1,0,0,21.9,121.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,2,30,22.1,0,0,21.9,127.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,3,0,22.1,0,0,21.9,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,3,30,22,0,0,21.9,140.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,4,0,22,0,0,21.9,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,4,30,22,0,0,21.9,153.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,5,0,22,0,0,21.9,159.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,5,30,22.1,0,0,21.9,165.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,6,0,22.1,0,0,22,171.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,6,30,22.1,0,0,22,173.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,7,0,22.2,0,0,22.1,169.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,7,30,22.3,0,0,22.1,163.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,8,0,22.4,0,0,22.2,157.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,8,30,22.4,0,0,22.2,151.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,9,0,22.5,0,0,22.2,144.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,9,30,22.5,0,0,22.2,138.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,10,0,22.5,0,0,22.1,131.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,10,30,22.5,0,0,22.1,125.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,11,0,22.5,0,0,22,118.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,11,30,22.5,0,0,22,112.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,12,0,22.5,0,0,21.9,106.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,12,30,22.5,0,0,21.9,100.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,13,0,22.6,0,0,21.9,94.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,13,30,22.9,0,11,21.9,88.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,14,0,23.3,3,2,22,82.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,14,30,23.9,8,59,22,77.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,15,0,24.5,3,44,22,72.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,15,30,25.3,3,0,22,67.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,16,0,26,3,200,21.4,63.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,16,30,26.6,0,392,21.4,59.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,17,0,27.3,3,144,20.8,56.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,17,30,27.7,0,373,20.8,54.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,18,0,28.1,3,84,20.3,53.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,18,30,28.3,0,395,20.3,52.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,19,0,28.4,0,740,19.7,53.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,19,30,28.3,0,767,19.7,54.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,20,0,28.2,0,569,19.2,57.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,20,30,27.8,0,655,19.2,60.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,21,0,27.3,8,406,19.3,64.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,21,30,26.4,7,293,19.3,68.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,22,0,25.5,7,375,20.7,73.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,22,30,24.4,7,330,20.7,78.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,23,0,23.3,7,9,20.6,84.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,23,30,22.8,8,0,20.6,89.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,0,0,22.3,7,0,20.3,96.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,0,30,21.9,7,0,20.3,102.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,1,0,21.6,6,0,20,108.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,1,30,21.3,7,0,20,114.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,2,0,21,7,0,19.6,120.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,2,30,20.7,8,0,19.6,127.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,3,0,20.4,7,0,18.9,133.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,3,30,19.9,7,0,18.9,140.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,4,0,19.5,7,0,17.6,146.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,4,30,18.6,7,0,17.6,153.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,5,0,17.8,8,0,14.9,159.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,5,30,16.3,7,0,15,165.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,6,0,14.7,7,0,10.7,171.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,6,30,12.7,0,0,10.7,173.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,7,0,10.7,0,0,5.4,169.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,7,30,8.9,0,0,5.4,164.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,8,0,7,0,0,0.3,157.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,8,30,5.9,0,0,0.3,151.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,9,0,4.8,0,0,-3,144.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,9,30,4.1,0,0,-3,138.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,10,0,3.4,0,0,-5.1,131.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,10,30,2.8,3,0,-5.1,125.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,11,0,2.2,0,0,-6.1,118.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,11,30,1.8,0,0,-6.1,112.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,12,0,1.4,0,0,-6.1,106.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,12,30,1.1,0,0,-6.1,100.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,13,0,0.8,4,0,-6.2,94.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,13,30,0.6,4,75,-6.2,88.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,14,0,0.5,4,56,-6.9,82.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,14,30,0.7,4,52,-6.9,77.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,15,0,0.9,4,302,-8,72.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,15,30,1.4,0,794,-8,67.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,16,0,1.9,0,912,-8.6,63.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,16,30,2.6,0,948,-8.5,59.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,17,0,3.2,0,975,-8.4,56.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,17,30,3.7,0,986,-8.4,54.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,18,0,4.3,0,992,-8,52.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,18,30,4.7,0,1002,-8,52.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,19,0,5.2,0,1001,-7.6,53.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,19,30,5.4,0,992,-7.6,54.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,20,0,5.7,0,978,-7.1,57.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,20,30,5.8,0,957,-7.1,60.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,21,0,5.8,0,928,-6.6,64.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,21,30,5.6,0,884,-6.6,68.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,22,0,5.4,0,819,-6.2,73.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,22,30,4.9,0,716,-6.2,78.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,23,0,4.3,0,538,-5.8,84.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,23,30,4,0,148,-5.8,89.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,0,0,3.6,0,0,-5.2,95.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,0,30,3.4,0,0,-5.2,101.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,1,0,3.1,0,0,-4.7,108.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,1,30,2.8,0,0,-4.7,114.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,2,0,2.5,0,0,-4.2,120.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
